2025-03-04 10:02:40.715 | WARNING  | core.vector_store.manager:similarity_search:130 | No results found for query: the content of this document?
2025-03-04 10:02:40.929 | WARNING  | core.vector_store.manager:similarity_search:130 | No results found for query: document content subject information
2025-03-04 10:03:24.113 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:03:24.113 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 10:03:36.561 | INFO     | __main__:reset_database:35 | Starting database reset...
2025-03-04 10:03:36.561 | INFO     | __main__:reset_database:38 | Dropping all tables...
2025-03-04 10:03:36.644 | INFO     | __main__:reset_database:42 | Creating new tables...
2025-03-04 10:03:36.760 | INFO     | __main__:reset_database:46 | Cleaning uploads directory...
2025-03-04 10:03:36.764 | INFO     | __main__:clean_uploads_directory:27 | Uploads directory cleaned and recreated
2025-03-04 10:03:36.764 | INFO     | __main__:reset_database:49 | Database reset completed successfully!
2025-03-04 10:03:45.748 | INFO     | __main__:reset_vector_store:17 | Starting vector store reset...
2025-03-04 10:03:45.836 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:03:45.841 | INFO     | __main__:reset_vector_store:31 | Creating new collection: document_store
2025-03-04 10:03:46.485 | INFO     | core.vector_store.utils:create_milvus_collection:33 | Created collection with auto-index: document_store
2025-03-04 10:03:47.129 | INFO     | __main__:reset_vector_store:35 | Creating index...
2025-03-04 10:03:47.143 | ERROR    | __main__:reset_vector_store:48 | Error resetting vector store: <MilvusException: (code=65535, message=CreateIndex failed: at most one distinct index is allowed per field)>
2025-03-04 10:03:47.144 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:04:08.202 | INFO     | __main__:reset_vector_store:17 | Starting vector store reset...
2025-03-04 10:04:08.284 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:04:08.333 | INFO     | __main__:reset_vector_store:27 | Dropping collection: document_store
2025-03-04 10:04:08.349 | INFO     | __main__:reset_vector_store:31 | Creating new collection: document_store
2025-03-04 10:04:08.910 | INFO     | core.vector_store.utils:create_milvus_collection:33 | Created collection with auto-index: document_store
2025-03-04 10:04:09.779 | INFO     | __main__:reset_vector_store:35 | Creating index...
2025-03-04 10:04:09.795 | ERROR    | __main__:reset_vector_store:48 | Error resetting vector store: <MilvusException: (code=65535, message=CreateIndex failed: at most one distinct index is allowed per field)>
2025-03-04 10:04:09.799 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:07:23.425 | INFO     | __main__:reset_vector_store:17 | Starting vector store reset...
2025-03-04 10:07:23.519 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:07:23.569 | INFO     | __main__:reset_vector_store:27 | Dropping collection: document_store
2025-03-04 10:07:23.588 | INFO     | __main__:reset_vector_store:31 | Creating new collection: document_store
2025-03-04 10:07:24.149 | INFO     | core.vector_store.utils:create_milvus_collection:33 | Created collection with auto-index: document_store
2025-03-04 10:07:24.797 | INFO     | __main__:reset_vector_store:35 | Collection created successfully with auto-index!
2025-03-04 10:07:24.798 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:07:38.175 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 10:07:38.177 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 10:07:38.185 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 10:07:38.257 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:11:34.613 | DEBUG    | apps.chat.routes:upload_attachments:296 | Uploading files to conversation 04d4edbe-db62-4c02-8575-21895e729d70
2025-03-04 10:11:52.058 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace default
2025-03-04 10:11:58.454 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace 04d4edbe-db62-4c02-8575-21895e729d70
2025-03-04 10:12:29.933 | INFO     | apps.chat.routes:process_query:447 | Processing query request: explain the document for conversation: 04d4edbe-db62-4c02-8575-21895e729d70
2025-03-04 10:13:25.417 | DEBUG    | apps.chat.routes:create_message:130 | Creating message for conversation 04d4edbe-db62-4c02-8575-21895e729d70
2025-03-04 10:13:25.450 | INFO     | apps.chat.routes:generate_rag_response:212 | Searching for documents relevant to: 'explain the document'
2025-03-04 10:13:28.647 | INFO     | apps.chat.routes:generate_rag_response:229 | Generated response successfully
2025-03-04 10:15:54.985 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:15:54.986 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 10:27:38.754 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 10:27:38.756 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 10:27:38.763 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 10:27:38.842 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:30:14.541 | INFO     | apps.chat.routes:process_query:447 | Processing query request: explain all the attached docs to me for conversation: 04d4edbe-db62-4c02-8575-21895e729d70
2025-03-04 10:30:32.256 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace 04d4edbe-db62-4c02-8575-21895e729d70
2025-03-04 10:30:35.675 | WARNING  | core.vector_store.manager:similarity_search:130 | No results found for query: please summarize the attached documents
2025-03-04 10:30:35.877 | WARNING  | core.vector_store.manager:similarity_search:130 | No results found for query: explain attached documents files summary
2025-03-04 10:31:34.065 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:31:34.065 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 10:31:44.631 | INFO     | __main__:check_collection:16 | Checking collection status...
2025-03-04 10:31:44.724 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:31:44.768 | ERROR    | __main__:check_collection:51 | Error checking collection: 'Collection' object has no attribute 'stats'
2025-03-04 10:31:44.871 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:32:04.507 | INFO     | __main__:reset_database:35 | Starting database reset...
2025-03-04 10:32:04.507 | INFO     | __main__:reset_database:38 | Dropping all tables...
2025-03-04 10:32:04.601 | INFO     | __main__:reset_database:42 | Creating new tables...
2025-03-04 10:32:04.715 | INFO     | __main__:reset_database:46 | Cleaning uploads directory...
2025-03-04 10:32:04.718 | INFO     | __main__:clean_uploads_directory:27 | Uploads directory cleaned and recreated
2025-03-04 10:32:04.718 | INFO     | __main__:reset_database:49 | Database reset completed successfully!
2025-03-04 10:32:13.854 | INFO     | __main__:reset_vector_store:17 | Starting vector store reset...
2025-03-04 10:32:13.948 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:32:14.002 | INFO     | __main__:reset_vector_store:27 | Dropping collection: document_store
2025-03-04 10:32:14.025 | INFO     | __main__:reset_vector_store:31 | Creating new collection: document_store
2025-03-04 10:32:14.587 | INFO     | core.vector_store.utils:create_milvus_collection:33 | Created collection with auto-index: document_store
2025-03-04 10:32:15.656 | INFO     | __main__:reset_vector_store:35 | Collection created successfully with auto-index!
2025-03-04 10:32:15.660 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:32:29.950 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 10:32:29.954 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 10:32:29.983 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 10:32:30.076 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:35:55.524 | DEBUG    | apps.chat.routes:upload_attachments:296 | Uploading files to conversation 0c67e280-b569-48be-b550-80ed44d18521
2025-03-04 10:36:18.514 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace default
2025-03-04 10:36:26.759 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace 0c67e280-b569-48be-b550-80ed44d18521
2025-03-04 10:37:20.239 | DEBUG    | apps.chat.routes:create_message:130 | Creating message for conversation 0c67e280-b569-48be-b550-80ed44d18521
2025-03-04 10:37:20.276 | INFO     | apps.chat.routes:generate_rag_response:212 | Searching for documents relevant to: 'explain the docs'
2025-03-04 10:37:28.912 | INFO     | apps.chat.routes:generate_rag_response:229 | Generated response successfully
2025-03-04 10:40:00.615 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:40:00.616 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 10:41:35.612 | INFO     | __main__:reset_database:35 | Starting database reset...
2025-03-04 10:41:35.613 | INFO     | __main__:reset_database:38 | Dropping all tables...
2025-03-04 10:41:35.688 | INFO     | __main__:reset_database:42 | Creating new tables...
2025-03-04 10:41:35.799 | INFO     | __main__:reset_database:46 | Cleaning uploads directory...
2025-03-04 10:41:35.801 | INFO     | __main__:clean_uploads_directory:27 | Uploads directory cleaned and recreated
2025-03-04 10:41:35.801 | INFO     | __main__:reset_database:49 | Database reset completed successfully!
2025-03-04 10:41:48.890 | INFO     | __main__:reset_vector_store:17 | Starting vector store reset...
2025-03-04 10:41:49.000 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:41:49.046 | INFO     | __main__:reset_vector_store:27 | Dropping collection: document_store
2025-03-04 10:41:49.070 | INFO     | __main__:reset_vector_store:31 | Creating new collection: document_store
2025-03-04 10:41:49.637 | INFO     | core.vector_store.utils:create_milvus_collection:33 | Created collection with auto-index: document_store
2025-03-04 10:41:50.497 | INFO     | __main__:reset_vector_store:35 | Collection created successfully with auto-index!
2025-03-04 10:41:50.500 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:49:16.192 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 10:49:16.193 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 10:49:16.205 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 10:49:16.284 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:50:55.361 | DEBUG    | apps.chat.routes:upload_attachments:296 | Uploading files to conversation e5f7c102-7762-4cb9-be7b-b4383ed39b1e
2025-03-04 10:51:12.503 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace default
2025-03-04 10:51:20.697 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace e5f7c102-7762-4cb9-be7b-b4383ed39b1e
2025-03-04 10:52:22.361 | DEBUG    | apps.chat.routes:create_message:130 | Creating message for conversation e5f7c102-7762-4cb9-be7b-b4383ed39b1e
2025-03-04 10:52:22.439 | INFO     | apps.chat.routes:generate_rag_response:212 | Searching for documents relevant to: 'explain the documents'
